date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:30	762079/762079	---M--	200	added ('OK')	image/jpeg	etag:309825acbbc5d84936b78fb61b446a60	http://static.showit.co/1600/M1KLRMsHTfe1me2c_BBVoA/65601/a_and_nwed0137.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/M1KLRMsHTfe1me2c_BBVoA/65601/a_and_nwed0137.jpg	(from https://amandaseasholtz.com/weddings)
13:29:46	937352/937352	---M--	200	added ('OK')	image/jpeg	etag:516f9e30ab4704b5927836b234bf1087	http://static.showit.co/1600/YdPSItWVRTe22PEyU2j94A/65601/a_and_nwed0618.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/YdPSItWVRTe22PEyU2j94A/65601/a_and_nwed0618.jpg	(from https://amandaseasholtz.com/weddings)
13:29:47	1039438/1039438	---M--	200	added ('OK')	image/jpeg	etag:6e20cc20741dfe909964669367b8599f	http://static.showit.co/1600/_0fcj6ztSfaksCvJ4o_Dgg/65601/a_and_nwed0095.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/_0fcj6ztSfaksCvJ4o_Dgg/65601/a_and_nwed0095.jpg	(from https://amandaseasholtz.com/weddings)
13:30:19	197625/197625	---M--	200	added ('OK')	image/jpeg	etag:58489a67cd963246e4802e36cc7fefc7	http://static.showit.co/1600/gfVOUElnSZaV9slY1N3shA/65601/a_and_nwed0795.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/gfVOUElnSZaV9slY1N3shA/65601/a_and_nwed0795.jpg	(from https://amandaseasholtz.com/weddings)
13:30:45	835004/835004	---M--	200	added ('OK')	image/jpeg	etag:4c35b860cbe0d7fb03cc3b46d3cdab5a	http://static.showit.co/1600/Zn5FzCfjSsyq9NORjoIOQA/65601/a_and_nwed0727.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/Zn5FzCfjSsyq9NORjoIOQA/65601/a_and_nwed0727.jpg	(from https://amandaseasholtz.com/weddings)
13:31:03	976287/976287	---M--	200	added ('OK')	image/jpeg	etag:6151db88ea60bc6f6302800833102e74	http://static.showit.co/1600/n2uJsP3cRKWzQ3-7TkuPaQ/65601/a_and_nwed0692.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/n2uJsP3cRKWzQ3-7TkuPaQ/65601/a_and_nwed0692.jpg	(from https://amandaseasholtz.com/weddings)
13:32:45	736566/736566	---M--	200	added ('OK')	image/jpeg	etag:0f851cfc0ddb00ddbd7d395d188a3aaf	http://static.showit.co/1600/2hC8GZH9RRmnWY5jTnEp0A/65601/a_and_nwed0903.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/2hC8GZH9RRmnWY5jTnEp0A/65601/a_and_nwed0903.jpg	(from https://amandaseasholtz.com/weddings)
13:32:45	900425/900425	---M--	200	added ('OK')	image/jpeg	etag:9c716c3c7f5a3df2b28704b1cacceda9	http://static.showit.co/1600/DfQZL4XGRJqp17wl7mZ-aA/65601/a_and_nwed0882.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/DfQZL4XGRJqp17wl7mZ-aA/65601/a_and_nwed0882.jpg	(from https://amandaseasholtz.com/weddings)
13:32:55	1169697/1169697	---M--	200	added ('OK')	image/jpeg	etag:875e76a2d1a17d6024a65f36ca9d9ac1	http://static.showit.co/1600/tiVL1PklS0qg7TcGI4GARA/65601/a_and_nwed0847.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/tiVL1PklS0qg7TcGI4GARA/65601/a_and_nwed0847.jpg	(from https://amandaseasholtz.com/weddings)
13:33:33	930113/930113	---M--	200	added ('OK')	image/jpeg	etag:1e73ad3ede495ca1db1b88f4ed0fa414	http://static.showit.co/1600/uRRzUeHTSu-N61J7J0tjZA/65601/a_and_nwed0931.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/uRRzUeHTSu-N61J7J0tjZA/65601/a_and_nwed0931.jpg	(from https://amandaseasholtz.com/weddings)
